feature,mean_shap
high_risk_subject,2.858722763233071
text_length,0.5538123455747093
vocab_diversity,0.3800564257190622
word_count,0.1738597881128238
ai_phrase_density,0.16499230270350282
title_has_numbers,0.12505067345809898
predatory_journal,0.11936489742095206
integrity_index,0.10876963508813016
avg_sentence_len,0.1043366487077405
sentence_uniformity,0.09740337461578967
n_sentences,0.09257680900449686
title_length,0.09249490741438138
number_density,0.0895943367730984
burstiness,0.08317539684640174
terminal_zero_bias,0.06384226611554118
sig_word_count,0.04500065075451349
ai_phrase_count,0.04102301401985872
round_number_ratio,0.03929321748706706
n_numbers,0.03055996284794153
benford_deviation,0.027022442182091946
method_good_count,0.019135818542551208
self_cite_signals,0.0188344014127897
min_sample,0.01513005760091671
repro_positive,0.012220318576378855
max_sample,0.009751336086874712
high_risk_combo,0.005537203968505615
n_pvalues,0.005069728722888108
title_hype_count,0.0031475488514943624
citation_density,0.0024374710951270413
methodology_score,0.0019132915818899099
n_samples_found,0.001489920273936035
tiny_sample,0.0012696967865602426
n_citations,0.00120387309414186
method_bad_count,0.00033601677382852303
pval_cluster,1.8529207468211032e-05
has_p05,0.0
repro_negative,0.0
